permalink,api_path,web_path,api_url,first_name,last_name,gender,title,organization_permalink,organization_api_path,organization_web_path,organization_name,profile_image_url,homepage_url,facebook_url,twitter_url,linkedin_url,city_name,region_name,country_code,created_at,updated_at
prahalathan-kk,people/prahalathan-kk,person/prahalathan-kk,https://api.crunchbase.com/v3.1/people/prahalathan-kk,Prahalathan,KK,Male,,,organizations/,organization/,,,,,,,,,,1598878313,1598878313
ayyanar-e,people/ayyanar-e,person/ayyanar-e,https://api.crunchbase.com/v3.1/people/ayyanar-e,Ayyanar,E,Male,,,organizations/,organization/,,,,,,,,,,1598878313,1598878313
hari-sankar,people/hari-sankar,person/hari-sankar,https://api.crunchbase.com/v3.1/people/hari-sankar,Hari,Sankar,Male,,,organizations/,organization/,,,,,,,,,,1598878313,1598878313
balendran-thavarajah,people/balendran-thavarajah,person/balendran-thavarajah,https://api.crunchbase.com/v3.1/people/balendran-thavarajah,Balendran,Thavarajah,Male,Founder and CEO of Get Mee,get-mee,organizations/get-mee,organization/get-mee,Get Mee,http://public.crunchbase.com/t_api_images/v1496137127/ginkkze4ucva1hlkipce.png,https://getmee.ai,,https://twitter.com/balendran,http://au.linkedin.com/in/balatry,Melbourne,Victoria,Australia,1386683014,1598878117
daniel-reilly-2,people/daniel-reilly-2,person/daniel-reilly-2,https://api.crunchbase.com/v3.1/people/daniel-reilly-2,Daniel,Reilly,Male,Vice President Sales,bemyeye,organizations/bemyeye,organization/bemyeye,BeMyEye,http://public.crunchbase.com/t_api_images/k2bem7pjaa7meq98ow92,,,,https://www.linkedin.com/in/dancreilly/,London,England,United Kingdom,1433438411,1598877998
max-de-groen,people/max-de-groen,person/max-de-groen,https://api.crunchbase.com/v3.1/people/max-de-groen,Max,de Groen,,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/br1szhkcma8adkgrwumo,,,,https://www.linkedin.com/in/max-de-groen-5b81b34a/,Boston,Massachusetts,United States,1598877656,1598877656
alexander-ehlgen,people/alexander-ehlgen,person/alexander-ehlgen,https://api.crunchbase.com/v3.1/people/alexander-ehlgen,Alexander,Ehlgen,,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/kpez6pnxhq5bq5lht8cc,,,,https://www.linkedin.com/in/alexander-ehlgen-338a4b/,Ulm,Baden-Wurttemberg,Germany,1598877272,1598877272
marius-rønnov,people/marius-rønnov,person/marius-rønnov,https://api.crunchbase.com/v3.1/people/marius-rønnov,Marius,Rønnov,Male,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/marius-r-261b0310b/,Toronto,Ontario,Canada,1598877206,1598877206
rushal-patel,people/rushal-patel,person/rushal-patel,https://api.crunchbase.com/v3.1/people/rushal-patel,Rushal,Patel,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/wxo4nz16ggk0vrtflf8t,,,https://twitter.com/patelrushal,https://www.linkedin.com/in/rushal/,San Francisco,California,United States,1598877150,1598877150
mike-curb-e3e6,people/mike-curb-e3e6,person/mike-curb-e3e6,https://api.crunchbase.com/v3.1/people/mike-curb-e3e6,Mike,Curb,Male,,,organizations/,organization/,,,,,,,,,,1598877108,1598877108
subrata-poddar,people/subrata-poddar,person/subrata-poddar,https://api.crunchbase.com/v3.1/people/subrata-poddar,Subrata,Poddar,Male,,,organizations/,organization/,,,,,,,,,,1598876760,1598876760
william-f-abell,people/william-f-abell,person/william-f-abell,https://api.crunchbase.com/v3.1/people/william-f-abell,William,F.Abell,Male,,,organizations/,organization/,,,,,,,,,,1598876688,1598876688
jan-m-gerbracht,people/jan-m-gerbracht,person/jan-m-gerbracht,https://api.crunchbase.com/v3.1/people/jan-m-gerbracht,Jan,M.Gerbracht,Male,,,organizations/,organization/,,,,,,,,,,1598876688,1598876688
pulak-chakraborty,people/pulak-chakraborty,person/pulak-chakraborty,https://api.crunchbase.com/v3.1/people/pulak-chakraborty,Pulak,Chakraborty,Male,,,organizations/,organization/,,,http://www.nexxusstudios.com/,https://www.facebook.com/iampulakchakraborty/,https://twitter.com/itsmePulak,https://www.linkedin.com/in/pulakchakraborty/,,,,1598876637,1598876637
jeffrey-lee-89ef,people/jeffrey-lee-89ef,person/jeffrey-lee-89ef,https://api.crunchbase.com/v3.1/people/jeffrey-lee-89ef,Jeffrey,Lee,Male,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/jeffsawyerlee/,Toronto,Ontario,Canada,1598876450,1598876450
don-r-yance,people/don-r-yance,person/don-r-yance,https://api.crunchbase.com/v3.1/people/don-r-yance,Don,R. Yance,Male,,,organizations/,organization/,,,,,,,,,,1598876394,1598876394
ian-logan,people/ian-logan,person/ian-logan,https://api.crunchbase.com/v3.1/people/ian-logan,Ian,Logan,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/j8gppakmle77ocdjvcs5,https://www.roserocket.com/,http://www.facebook.com/albert.ian.logan,http://twitter.com/albertianlogan,http://www.linkedin.com/in/albertianlogan,Toronto,Ontario,Canada,1399490993,1598876270
